0.0219 0.7768 0.2547 0.0898
0.3878 0.4642 0.3117 0.8491
0.4049 0.9599 0.2434 0.1451
0.7889 0.7929 0.1465 0.8132
0.5612 0.5291 0.3204 0.8454
0.5556 0.8768 0.2129 0.6444
0.5081 0.5389 0.1977 0.8711
0.1589 0.7652 0.2149 0.1845
0.6062 0.3367 0.5891 0.6238
0.4354 0.5185 0.2147 0.8429
0.5730 0.6415 0.0310 0.4541
0.6645 0.4877 0.4616 0.7324
0.7741 0.3672 0.4131 0.9267
0.7978 0.4334 0.3319 0.9069
0.3322 0.1693 0.6139 0.7533
0.4387 0.5188 0.4942 0.6613
1.0000 0.7106 0.1155 0.8512
0.3280 0.6480 0.1661 0.5335
0.7900 0.6266 0.2655 0.8568
0.2488 0.2823 0.6678 0.6921
0.7085 0.9262 0.0717 0.3879
0.3040 0.1771 0.6173 0.7082
0.7418 0.7635 0.1980 0.8815
0.5391 0.7226 0.3132 0.7623
0.6925 0.8622 0.0702 0.6732
0.2915 0.1727 0.6392 0.7318
0.4514 0.9405 0.2091 0.1403
0.7891 0.5803 0.2946 0.8907
0.2483 0.0043 0.9861 0.5668
0.4560 0.3015 0.3909 0.8959
0.4783 0.5096 0.2280 0.7918
0.3981 0.2670 0.4738 0.7901
0.7912 0.4063 0.3210 0.8290
0.7739 0.8853 0.0491 0.3914
0.8859 0.9280 0.0373 0.4162
0.5724 0.6940 0.0161 0.2768
0.7537 0.7176 0.1164 0.7159
0.8117 0.4104 0.3123 0.8632
0.7040 0.8552 0.0823 0.7095
0.3112 0.6621 0.2041 0.4597
0.4004 0.4324 0.2947 0.8838
0.7000 0.9178 0.0785 0.4099
0.4644 0.5799 0.1325 0.7280
0.3398 0.1429 0.5916 0.6248
0.4336 0.2763 0.4641 0.8750
0.5504 0.7933 0.2788 0.5231
0.7222 0.7712 0.2137 0.8669
0.5469 0.7411 0.2981 0.7570
0.4011 0.1216 0.6539 0.7531
0.2655 0.5031 0.3175 0.8565
0.2087 0.7819 0.2218 0.1995
0.6225 0.6012 0.3654 0.8174
0.7104 0.9384 0.0811 0.3865
0.3251 0.4864 0.3706 0.8003
0.3642 0.9515 0.3401 0.3124
0.4487 0.5398 0.2043 0.7508
0.6917 0.3301 0.5007 0.7612
0.4271 0.9168 0.3158 0.2712
0.3479 0.4684 0.3549 0.8342
0.7011 0.6327 0.2401 0.8549
0.4186 0.4521 0.3342 0.8485
0.0549 0.7648 0.2481 0.1439
0.4859 0.6146 0.1054 0.7387
0.2092 0.6449 0.2047 0.4362
0.4227 0.9460 0.2321 0.1618
0.4042 0.4457 0.3993 0.8517
0.7938 0.6621 0.2559 0.8316
0.2767 0.5100 0.2675 0.8044
0.6898 0.5991 0.3431 0.8745
0.3141 0.5117 0.2520 0.8059
0.8432 0.3346 0.3747 0.7766
